5060,195,453
4931,180,457
1428,196,438
118,2,8
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5295,75,513
5183,70,510
3797,51,532
336,3,17
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
4950,43,574
4966,35,593
3998,25,613
374,3,18
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
6621,35,612
6700,33,604
6360,35,608
4553,29,630
313,3,15
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
6542,31,603
6593,31,602
5931,28,610
2059,13,682
4,1,23
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
6102,34,601
5766,32,605
4487,26,618
120,812,8
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
8494,250,9
7504,269,7
6516,283,7
1967,12,680
122,812,8
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
6032,305,6
6004,305,6
5555,308,6
312,52,542
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
6069,306,6
5899,304,6
3508,378,6
136,3,710
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
6046,303,6
5831,305,6
9628,233,12
2852,31,648
613,807,16
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5543,302,6
5613,304,6
4509,27,618
588,28,706
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5534,306,6
5357,306,6
3963,24,628
128,812,8
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5523,304,6
5582,305,6
5346,304,6
3251,20,640
77,812,6
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5577,305,6
5582,305,6
4479,27,619
1643,14,670
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5525,305,6
8546,241,9
7484,247,10
376,809,13
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5469,303,6
5509,304,6
5301,305,6
3033,20,641
98,812,6
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
5551,304,6
